level,grammar_point,descriptor,example
A1,Present simple of be,"Identify people, states, jobs",She is a teacher.
A1,have got,Express possession,I've got two sisters.
A1,Imperatives (+/-),Give instructions/commands,Open your books. Don't run.
A1,there is / there are,State existence/location,There's a bank near here.
A1,can (ability),Say what one is able to do,I can swim.
A1,Present simple (1st/2nd person),Describe habits/routines/facts,We live in Madrid.
A1,Present simple 3rd-person -s,Agreement in routines,He works in a bank.
A1,Present continuous,Actions in progress now,She's cooking dinner.
A1,Yes/no questions + short answers,Ask for confirmation,"Do you like tea? — Yes, I do."
A1,Wh- questions (what/where/who/when),Seek basic information,Where do you live?
A1,How + adjective questions,Ask about age/size/price,How old are you?
A1,Article a/an,Introduce singular referents,I saw a dog.
A1,Definite the (basic),Refer to known/unique things,The sun is hot.
A1,Regular plurals -s/-es,Pluralise nouns,"two buses, three cats"
A1,Demonstratives this/that/these/those,Point to near/far items,This is my pen.
A1,Possessive adjectives (my/your/his…),Mark ownership,Her name is Ana.
A1,Possessive 's,Relate people to things/people,Maria's car is red.
A1,Subject & object pronouns,Refer back to people/things,I like him. She knows me.
A1,Prepositions of place (in/on/at/under/next to),Locate objects,The cat is on the chair.
A1,Prepositions of time (at/in/on),Fix times/days/months,"at six, on Monday, in July"
A1,Adjectives before nouns,Describe things simply,"a big house, a nice day"
A1,Adverbs of frequency (always/usually/never),Say how often things happen,I never drink coffee.
A1,very / really,Intensify adjectives,It's very cold today.
A1,Conjunctions and/but/or,Link words and simple clauses,I like tea but not coffee.
A1,Negatives: be/do + not,Negate simple statements,I'm not tired. I don't smoke.
A1,like/love/hate + -ing,Express preferences,I like swimming.
A1,some/any (basic),Refer to indefinite quantity,There are some eggs. There isn't any milk.
A1,would like ('d like),Make polite requests,"I'd like a coffee, please."
A1,Let's + infinitive,Make suggestions,Let's go home.
A1,How much/many (basic),Ask about quantity/price,How much is it?
A2,Past simple: regular verbs,Narrate completed events,I watched a film last night.
A2,Past simple: high-frequency irregulars,Narrate past with went/had/took,We went to Rome in May.
A2,Past of be (was/were),Describe past states,It was cold yesterday.
A2,Past simple negatives/questions (did),Ask/negate about the past,Did you see it? I didn't go.
A2,Past continuous,"Ongoing past action, often interrupted",I was sleeping when you called.
A2,be going to (plans/intentions),Talk about future plans,I'm going to visit her on Friday.
A2,Present continuous for future arrangements,Confirm fixed arrangements,We're meeting at seven.
A2,"will/won't (instant decisions, predictions)",Decide/offer/predict on the spot,I'll help you with that.
A2,Comparatives (-er/more … than),Compare two things,My car is faster than yours.
A2,Superlatives (-est/most … in/of),Identify extremes in a group,It's the tallest building in town.
A2,Countable vs uncountable nouns,Distinguish count/mass reference,a few apples / some milk
A2,Quantifiers much/many/a lot of,Express large quantity,We don't have much time.
A2,(a) few / (a) little,Express small quantity,Add a little sugar.
A2,too / (not) enough,Express excess or sufficiency,It's too hot; I'm not tall enough.
A2,must/mustn't,State rules and strong obligation,You must stop at the light.
