level,skill,descriptor
A1,listening,"Can follow language which is very slow and carefully articulated, with long pauses for them to assimilate meaning."
A1,listening,"Can recognise concrete information (e.g. places and times) on familiar topics encountered in everyday life, provided it is delivered slowly and clearly."
A1,listening,"Can understand some expressions when people are discussing them, family, school, hobbies or surroundings, provided the delivery is slow and clear."
A1,listening,"Can understand words and short sentences in a simple conversation (e.g. between a customer and a salesperson in a shop), provided people communicate very slowly and very clearly."
A1,listening,"Can understand instructions addressed carefully and slowly to them and follow short, simple directions."
A1,listening,"Can understand figures, prices and times given slowly and clearly in an announcement by loudspeaker, e.g. at a railway station or in a shop."
A1,listening,"Can pick out concrete information (e.g. places and times) from short recordings on familiar everyday topics, provided they are delivered very slowly and clearly."
A1,listening,"Can recognise familiar words and phrases and identify the topics in headline news summaries and many of the products in advertisements, by exploiting visual information and general knowledge."
A1,reading,"Can understand very short, simple texts a single phrase at a time, picking up familiar names, words and basic phrases and rereading as required."
A1,reading,"Can understand short, simple messages on postcards."
A1,reading,"Can understand short, simple messages sent via social media or e-mail (e.g. proposing what to do, when and where to meet)."
A1,reading,"Can recognise familiar names, words and very basic phrases on simple notices in the most common everyday situations."
A1,reading,"Can find and understand simple, important information in advertisements, programmes for special events, leaflets and brochures (e.g. what is proposed, costs, the date and place of the event, departure times)."
A1,reading,"Can get an idea of the content of simpler informational material and short, simple descriptions, especially if there is visual support."
A1,reading,"Can understand short, illustrated narratives about everyday activities described in simple words."
A1,reading,"Can follow short, simple written directions (e.g. to go from X to Y)."
A1,spoken_interaction,"Can interact in a simple way but communication is totally dependent on repetition at a slower rate, rephrasing and repair."
A1,spoken_interaction,"Can ask and answer simple questions, initiate and respond to simple statements in areas of immediate need or on very familiar topics."
A1,spoken_interaction,"Can understand everyday expressions aimed at the satisfaction of simple needs of a concrete type, delivered directly to them in clear, slow and repeated language by a sympathetic interlocutor."
A1,spoken_interaction,Can make an introduction and use basic greeting and leave-taking expressions.
A1,spoken_interaction,Can ask how people are and react to news.
A1,spoken_interaction,"Can take part in a simple conversation of a basic factual nature on a predictable topic (e.g. their home country, family, school)."
A1,spoken_interaction,Can ask people for things and give people things; can ask for food and drink using basic expressions.
A1,spoken_interaction,"Can handle numbers, quantities, cost and time."
A1,spoken_interaction,"Can ask and answer questions about themselves and other people, where they live, people they know, things they have."
A1,spoken_interaction,"Can indicate time by lexicalised phrases like ""next week"", ""last Friday"", ""in November"", ""3 o'clock""."
A1,spoken_production,"Can produce simple, mainly isolated phrases about people and places."
A1,spoken_production,"Can describe themselves, what they do and where they live."
A1,spoken_production,"Can describe simple aspects of their everyday life in a series of simple sentences, using simple words and basic phrases, provided they can prepare in advance."
A1,spoken_production,"Can name an object and indicate its shape and colour while showing it to others, using basic words, phrases and formulaic expressions, provided they can prepare in advance."
A1,spoken_production,"Can use a very short prepared text to deliver a rehearsed statement (e.g. to formally introduce someone, to propose a toast)."
A1,writing,Can produce simple isolated phrases and sentences.
A1,writing,"Can give information about matters of personal relevance (e.g. likes and dislikes, family, pets) using simple words and basic expressions."
A1,writing,"Can produce simple phrases and sentences about themselves and imaginary people, where they live and what they do."
A1,writing,Can describe in very simple language what a room looks like.
A1,writing,Can ask for or pass on personal details.
A1,writing,"Can compose a short, simple postcard."
A1,writing,"Can compose a short, very simple message (e.g. a text message) to friends to give them a piece of information or to ask them a question."
A1,writing,"Can fill in numbers and dates, own name, nationality, address, age, date of birth or arrival in the country, etc., e.g. on a hotel registration form."
A1,writing,"Can leave a simple message giving information regarding, for instance, where they have gone or what time they will be back (e.g. ""Shopping: back at 5 p.m."")."
A2,listening,"Can understand enough to be able to meet needs of a concrete type, provided people articulate clearly and slowly."
A2,listening,"Can understand phrases and expressions related to areas of most immediate priority (e.g. very basic personal and family information, shopping, local geography, employment), provided people articulate clearly and slowly."
A2,listening,Can generally identify the topic of discussion around them when it is conducted slowly and clearly.
A2,listening,Can recognise when people agree and disagree in a conversation conducted slowly and clearly.
A2,listening,"Can catch the main point in short, clear, simple messages and announcements."
A2,listening,"Can understand simple directions on how to get from X to Y, by foot or public transport."
