level,pos,word,gloss,example
A1,noun,mother,your female parent,My mother cooks dinner.
A1,noun,father,your male parent,My father is a doctor.
A1,noun,brother,your male sibling,My brother is ten years old.
A1,noun,sister,your female sibling,Her sister likes cats.
A1,noun,baby,a very young child,The baby is sleeping.
A1,noun,family,parents and their children,My family lives in London.
A1,noun,friend,a person you like,Tom is my best friend.
A1,noun,boy,a male child,The boy has a red ball.
A1,noun,girl,a female child,The girl has a red bag.
A1,noun,man,an adult male person,The man is tall.
A1,noun,woman,an adult female person,That woman is my teacher.
A1,noun,name,the word that identifies a person,My name is Anna.
A1,noun,house,a building people live in,Our house is big.
A1,noun,room,a part of a house,This room is small.
A1,noun,door,a barrier you open to enter,Please close the door.
A1,noun,table,furniture with a flat top,The books are on the table.
A1,noun,chair,a seat for one person,"Sit on the chair, please."
A1,noun,bed,furniture for sleeping on,I go to bed at ten.
A1,noun,water,the clear liquid you drink,I drink water every day.
A1,noun,milk,a white drink from cows,The baby drinks milk.
A1,noun,bread,baked food made from flour,We eat bread for breakfast.
A1,noun,egg,an oval food from hens,I have an egg for breakfast.
A1,noun,apple,a round red or green fruit,She eats an apple every day.
A1,noun,dog,a common pet animal,Our dog is black and white.
A1,noun,cat,a small furry pet animal,The cat sleeps on my bed.
A1,noun,grass,the green plant covering ground,The grass is green.
A1,noun,school,a place for learning,My school is near my house.
A1,noun,teacher,a person who teaches students,Our teacher is very nice.
A1,noun,book,pages with words to read,I read this book at home.
A1,noun,pen,a tool for writing,I write with a blue pen.
A1,noun,bag,a container for carrying things,Her bag is red.
A1,noun,money,coins and notes for buying,I have some money in my bag.
A1,noun,car,a motor vehicle for people,My father has a new car.
A1,noun,bus,a large public road vehicle,I go to school by bus.
A1,noun,morning,the early part of day,I get up at seven in the morning.
A1,noun,blue,the colour of the sky,My pen is blue.
A1,noun,green,the colour of grass,The trees are green.
A1,noun,yellow,the colour of the sun,The bus is yellow.
A1,noun,Monday,the day after Sunday,I go to school on Monday.
A1,noun,son,a male child of parents,Their son is five years old.
A1,noun,daughter,a female child of parents,Her daughter likes milk.
A1,noun,husband,the man she is married to,Her husband works in a shop.
A1,noun,wife,the woman he is married to,His wife is a teacher.
A1,noun,rice,small white grains for eating,Rice is white.
A1,noun,juice,a drink made from fruit,I drink orange juice.
A1,noun,coffee,a hot brown morning drink,My father drinks coffee.
A1,noun,tea,a hot drink from leaves,Would you like some tea?
A1,noun,kitchen,the room for cooking food,My mother is in the kitchen.
A1,noun,window,a glass opening in a wall,"Open the window, please."
A1,noun,day,from morning to night,Today is a good day.
A1,verb,be,to exist or describe identity,She is a student.
A1,verb,have,to own or possess something,I have two brothers.
A1,verb,do,to perform an action,What do you do on Sundays?
A1,verb,go,to move or travel somewhere,We go home at five.
A1,verb,come,to move towards the speaker,"Come here, please."
A1,verb,get,to receive or obtain something,I get a present from my friend.
A1,verb,like,to enjoy or find pleasant,I like apples.
A1,verb,want,to wish for something,She wants a new bag.
A1,verb,need,to require something,We need some milk.
A1,verb,love,to like very much,I love my family.
A1,verb,live,to have your home somewhere,They live in a big house.
A1,verb,work,to do a job,She works in a school.
A1,verb,play,to take part in games,The children play in the park.
A1,verb,eat,to take food into your mouth,I eat bread every morning.
A1,verb,drink,to take liquid into your mouth,She drinks tea in the morning.
A1,verb,sleep,to rest with eyes closed,The baby sleeps in my room.
A1,verb,sit,to rest on a seat,Please sit on this chair.
A1,verb,walk,to move on foot,We walk to school.
A1,verb,run,to move fast on foot,The boys run in the park.
A1,verb,read,to look at written words,I read a book at night.
A1,verb,write,to make words on paper,She writes her name.
A1,verb,speak,to say words,They speak English.
A1,verb,listen,to give attention to sounds,Listen to the teacher.
A1,verb,see,to use your eyes,I see a bird in the tree.
A1,verb,watch,to look at something carefully,We watch TV in the evening.
A1,verb,open,to make not closed,"Open your books, please."
A1,verb,close,to shut something,The shops close at six.
A1,verb,give,to hand something to someone,"Give me your pen, please."
A1,verb,take,to carry something away,Take this bag to your room.
A1,verb,make,to create or produce something,I make a cake for you.
A1,verb,ask,to say a question,Ask me a question.
A1,verb,answer,to reply to a question,"Answer the question, please."
A1,verb,buy,to get something with money,I buy bread every morning.
A1,verb,help,to make things easier for someone,I help my mother at home.
A1,verb,learn,to get new knowledge,We learn English at school.
A1,verb,talk,to say words to someone,I talk to my friend.
A1,verb,teach,to give lessons to learners,She teaches English to children.
A1,verb,thank,to say thank you,Thank your teacher for the book.
A1,verb,use,to work with something for a purpose,I use a pen in class.
A1,verb,wash,to clean with water,I wash my hands every day.
A1,adjective,big,large in size,Our house is big.
A1,adjective,small,little in size,The cat is small.
A1,adjective,good,of high quality,This book is very good.
A1,adjective,bad,of poor quality,The weather is bad today.
A1,adjective,hot,with a high temperature,The tea is hot.
A1,adjective,cold,with a low temperature,The milk is cold.
A1,adjective,new,recently made or bought,I have a new pen.
A1,adjective,old,not new or young,My car is very old.
A1,adjective,young,not old; early in life,My sister is young.
A1,adjective,happy,feeling or showing pleasure,The children are happy.
A1,adjective,sad,not happy; feeling sorrow,She is sad today.
A1,adjective,nice,pleasant or kind,Our teacher is nice.
A1,adjective,long,having great length,Her hair is long.
A1,adjective,short,having small length,The days are short in winter.
A1,adjective,easy,not difficult to do,This question is easy.
A1,adjective,difficult,hard to do,This question is difficult.
A1,adjective,hungry,wanting to eat food,The baby is hungry.
A1,adjective,tired,needing sleep or rest,I am tired in the evening.
A1,adjective,fine,well or acceptable,"I am fine, thank you."
A1,adjective,beautiful,very attractive to see,Your house is beautiful.
A1,adjective,little,small in size,The little dog is black.
A1,adjective,great,very good or large,This is a great day.
A1,adjective,black,the darkest colour,My bag is black.
A1,adjective,white,the lightest colour,Her cat is white.
A1,adjective,red,the colour of blood,The apple is red.
A1,adjective,clean,not dirty; free from dirt,The room is clean.
A1,adjective,fast,moving or going quickly,The car is fast.
A1,adjective,slow,not fast; moving slowly,The bus is slow today.
A1,adjective,full,containing all it can,The bag is full.
A1,adjective,favourite,liked more than others,Blue is my favourite colour.
A1,adverb,here,in or at this place,"Sit here, please."
A1,adverb,there,in or at that place,My bag is there.
A1,adverb,now,at this moment,We go home now.
A1,adverb,then,at that time,"We eat, and then we play."
A1,adverb,today,on this day,Today is Monday.
A1,adverb,tomorrow,the day after today,Tomorrow is Tuesday.
A1,adverb,yesterday,the day before today,Yesterday is the day before today.
A1,adverb,very,to a high degree,The tea is very hot.
A1,adverb,too,also; more than enough,I am tired too.
A1,adverb,also,in addition to something,She also likes cats.
A1,adverb,always,at all times,He always drinks tea in the morning.
A1,adverb,never,at no time,I never drink coffee.
A1,adverb,often,many times; frequently,We often play in the park.
A1,adverb,again,one more time,"Say it again, please."
A1,adverb,well,in a good way,She speaks English well.
A1,adverb,usually,most times; normally,I usually get up at seven.
A1,adverb,sometimes,on some occasions,We sometimes watch TV.
A1,adverb,slowly,in a slow way,The bus goes slowly.
A1,adverb,quickly,in a fast way,Run quickly to the bus.
A1,adverb,together,with each other,We play together at school.
A2,noun,airport,place where planes arrive and leave,We went to the airport by taxi.
A2,noun,autumn,the season between summer and winter,The leaves fall in autumn.
A2,noun,beach,sand or stones next to the sea,We played on the beach.
A2,noun,bicycle,a vehicle with two wheels,She rides her bicycle to school.
A2,noun,bill,a paper asking for payment,He paid the bill in the restaurant.
A2,noun,birthday,the day each year you were born,My birthday is in June.
A2,noun,biscuit,a small flat sweet baked food,She ate a biscuit with her tea.
A2,noun,blanket,a warm cover for a bed,Put a blanket on the bed.
A2,noun,blog,a personal online diary or journal,She writes a blog about food.
A2,noun,boat,a small vehicle for water travel,They crossed the river by boat.
A2,noun,boss,the person who manages workers,Her boss is very friendly.
A2,noun,bottle,a container for holding liquids,He drank a bottle of water.
A2,noun,bridge,a structure over a river or road,The bridge is very old.
A2,noun,camera,a device for taking photographs,I took my camera on holiday.
A2,noun,campsite,a place where people camp,We stayed at a campsite near the sea.
A2,noun,career,the jobs you do in your life,She wants a career in music.
A2,noun,carpet,a soft covering for floors,The carpet in the room is red.
A2,noun,castle,a large strong old building,We visited a castle in Spain.
A2,noun,cereal,a breakfast food made from grains,I eat cereal for breakfast.
A2,noun,channel,a television or radio station,"Change the channel, please."
A2,noun,college,a place of higher education,My brother studies at college.
A2,noun,engineer,a person who designs machines or structures,Her father is an engineer.
A2,noun,envelope,a paper cover for a letter,Put the letter in the envelope.
A2,noun,entrance,the door or way into a place,Wait for me at the entrance.
A2,noun,equipment,the things needed for an activity,We bought new sports equipment.
A2,noun,event,something that happens or is organised,The concert was a big event.
A2,noun,exam,a formal test of knowledge,I passed my English exam.
A2,noun,exhibition,a public show of art or objects,We saw an exhibition of old photos.
A2,noun,experience,something you have done or lived through,The trip was a great experience.
A2,noun,factory,a building where things are made,He works in a car factory.
A2,noun,farm,land for growing food or animals,My uncle has a big farm.
A2,noun,festival,a celebration with music or events,The town has a music festival.
A2,noun,hobby,an activity you enjoy in free time,Her hobby is swimming.
